"tax_id","parent_id","rank","tax_name","root","below_root","below_below_root","below_below_below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","below_below_subspecies"
"421525","59732","species","Chryseobacterium haifense","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","421525","","","","",""
"421072","59732","species","Chryseobacterium halperniae","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","421072","","","","",""
"1453492","59732","species","Chryseobacterium hispalense","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1453492","","","","",""
"253","59732","species","Chryseobacterium indologenes","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","253","","","","",""
"266749","59732","species","Chryseobacterium jeonii","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","266749","","","","",""
"232216","59732","species","Chryseobacterium koreense","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","232216","","","","",""
"421058","59732","species","Chryseobacterium oranimense","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","421058","","","","",""
"493376","59732","species","Chryseobacterium palustre","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","493376","","","","",""
"558152","59732","species","Chryseobacterium piperi","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","558152","","","","",""
"445961","59732","species","Chryseobacterium soli","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","445961","","","","",""
"510955","59732","species","Chryseobacterium solincola","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","510955","","","","",""
"1500284","59732","species","Chryseobacterium sp. CF299","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1500284","","","","",""
"1705393","59732","species","Chryseobacterium sp. ERMR1:04","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1705393","","","","",""
"1233951","59732","species","Chryseobacterium sp. FH1","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1233951","","","","",""
"1674291","59732","species","Chryseobacterium sp. FH2","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1674291","","","","",""
"1736289","59732","species","Chryseobacterium sp. Leaf180","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1736289","","","","",""
"1736366","59732","species","Chryseobacterium sp. Leaf404","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1736366","","","","",""
"1736367","59732","species","Chryseobacterium sp. Leaf405","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1736367","","","","",""
"1500286","59732","species","Chryseobacterium sp. OV259","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1500286","","","","",""
"1500289","59732","species","Chryseobacterium sp. OV705","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","59732","","","","","","1500289","","","","",""
